,Clusters,hsa_mir_375,hsa_mir_5698,hsa_mir_205,hsa_mir_149,hsa_mir_129_1,hsa_mir_129_2,hsa_mir_6510,hsa_mir_204,hsa_mir_944
TCGA-L9-A5IP,C3,562.668141,2.23281,380.694119,10.047645,9.210342,6.419329,0,0.558203,1.674608
TCGA-L9-A743,C3,14948.85876,0.389554,157.379645,12.595566,1.558214,0.519405,0.649256,1.817917,2.077619
TCGA-L9-A7SV,C1,4967.947825,259.774978,15.315983,2.386906,7.757446,5.768357,0,1.392362,0.397818
TCGA-L9-A8F4,C3,4703.186484,5.89856,54.510832,137.090676,0.203399,0.406797,0.203399,1.42379,1.830588
TCGA-LA-A446,C4,6009.834572,0.327404,19577.14416,230.820079,1.309617,1.309617,47.146229,9.494727,239.332593
TCGA-LA-A7SW,C4,427.817455,2.958968,38074.7672,105.783106,106.029686,128.961688,0.246581,0.493161,221.182857
TCGA-MF-A522,C5,186.832544,0,38024.29192,252.058106,136.347221,133.399173,11.05518,0,162.142641
TCGA-MN-A4N1,C2,34196.3084,8.524944,2.75807,75.721561,0.250734,0.752201,1.504402,0,3.008804
TCGA-MN-A4N4,C3,3653.259851,1.679119,171.43808,33.91821,0.671648,0.671648,1.175384,1.343295,0
TCGA-MP-A4SV,C2,9818.217552,10.552259,243.691233,5.605888,0.659516,0.659516,1.978549,3.627339,0.659516
TCGA-MP-A4SW,C2,27919.7287,1.49342,62.723624,13.938583,0.74671,0,0.74671,1.244516,1.244516
